Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,,-,13,,90,,,-,3,,4,,42,,198,,4,,9,,1,,2,,9,,1,,,-,,
NEW ENGLAND,2017,1,,-,0,,8,,,-,,-,,-,19,,100,,,-,7,,,-,0,,2,,,-,,-,,
MARYLAND,2017,28,,-,0,,4,,17,,25,,,-,0,,1,,4,,5,,,-,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
CONNECTICUT,2017,28,,-,0,,0,,,-,1,,,-,0,,8,,,-,42,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW JERSEY,2017,28,,-,1,,5,,18,,48,,,-,2,,9,,59,,67,,,-,0,,2,,2,,4,,"NEW JERSEY
(40.104655, -74.386686)",
MAINE,2017,28,1,,0,,1,,4,,1,,28,,5,,33,,247,,135,,,-,0,,1,,1,,2,,"MAINE
(45.252223, -68.986647)",
GUAM,2017,28,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
LOUISIANA,2017,28,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MID. ATLANTIC,2017,1,,-,3,,17,,,-,,-,4,,13,,60,,4,,1,,1,,0,,3,,1,,,-,,
ARIZONA,2017,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,2,,2,,"ARIZONA
(34.869712, -111.760902)",
E.N. CENTRAL,2017,28,,-,1,,6,,32,,52,,,-,9,,41,,267,,391,,,-,1,,7,,25,,34,,,
NEW YORK CITY,2017,1,,-,0,,3,,,-,,-,4,,1,,5,,4,,,-,1,,0,,1,,1,,,-,,
MISSOURI,2017,28,7,,3,,20,,157,,124,,,-,0,,2,,9,,3,,,-,0,,2,,4,,4,,"MISSOURI
(38.636168, -92.566292)",
E.N. CENTRAL,2017,1,,-,1,,8,,,-,,-,,-,6,,41,,,-,,-,,-,1,,5,,,-,,-,,
MONTANA,2017,28,,-,0,,0,,,-,1,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NORTH DAKOTA,2017,28,,-,0,,1,,,-,1,,,-,0,,2,,6,,8,,,-,0,,0,,,-,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
S. ATLANTIC,2017,28,4,,2,,20,,76,,141,,1,,1,,4,,23,,25,,,-,0,,1,,3,,5,,,
CALIFORNIA,2017,28,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,0,,3,,4,,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW ENGLAND,2017,28,1,,1,,7,,15,,35,,28,,29,,104,,804,,878,,,-,0,,2,,5,,3,,,
