Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
GUAM,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190866
SOUTH CAROLINA,2019,8,2,,6,,17,,12,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190835
RHODE ISLAND,2019,8,,-,37,,4,,6,,,-,2,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190807
WISCONSIN,2019,8,4,,48,,45,,61,,,-,133,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190819
NEBRASKA,2019,8,4,,9,,15,,14,,,-,5,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190825
EAST SOUTH CENTRAL,2019,8,,-,20,,39,,73,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20190838
OKLAHOMA,2019,8,2,,10,,13,,4,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20190846
LOUISIANA,2019,8,,-,4,,,-,24,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190845
WEST VIRGINIA,2019,8,,-,4,,5,,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190837
US RESIDENTS,2019,8,49,,426,,793,,1015,,,-,573,,5,,10,,,US RESIDENTS,20190801
WEST NORTH CENTRAL,2019,8,7,,68,,100,,120,,,-,87,,1,,1,,,WEST NORTH CENTRAL,20190820
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190869
FLORIDA,2019,8,,-,27,,,-,66,,,-,9,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190831
NEW HAMPSHIRE,2019,8,,-,7,,11,,4,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190806
OHIO,2019,8,10,,36,,67,,75,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190818
MISSOURI,2019,8,2,,19,,26,,32,,,-,29,,1,,,-,"MISSOURI
(38.3675, -92.477244)",,20190824
SOUTH ATLANTIC,2019,8,6,,69,,96,,182,,,-,26,,2,,1,,,SOUTH ATLANTIC,20190828
WASHINGTON,2019,8,1,,35,,15,,10,,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190862
KENTUCKY,2019,8,,-,7,,7,,10,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190840
WYOMING,2019,8,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(42.999627, -107.55145)",,20190856
NORTH CAROLINA,2019,8,,-,12,,11,,28,,,-,6,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190834
TOTAL,2019,8,49,,426,,793,,1015,,,-,573,,5,,10,,,TOTAL,20190870
IOWA,2019,8,,-,40,,41,,52,,,-,75,,,-,1,,"IOWA
(42.074659, -93.500061)",,20190821
US TERRITORIES,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190863
NEW ENGLAND,2019,8,,-,48,,47,,52,,,-,10,,,-,1,,,NEW ENGLAND,20190802
DELAWARE,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190829
NORTH DAKOTA,2019,8,,-,4,,,-,6,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20190826
KANSAS,2019,8,,-,6,,7,,7,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190822
UTAH,2019,8,1,,17,,9,,10,,,-,4,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190855
AMERICAN SAMOA,2019,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190864
WEST SOUTH CENTRAL,2019,8,7,,61,,69,,100,,,-,49,,,-,1,,,WEST SOUTH CENTRAL,20190843
NEW MEXICO,2019,8,,-,10,,3,,4,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190854
SOUTH ATLANTIC,2019,1,4,,69,,4,,20,,,-,27,,,-,,-,,SOUTH ATLANTIC,20190128
KANSAS,2019,1,,-,6,,,-,2,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190122
TEXAS,2019,1,,-,53,,,-,1,,,-,40,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190147
DISTRICT OF COLUMBIA,2019,1,,-,4,,,-,1,,,-,2,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190130
WEST VIRGINIA,2019,1,,-,4,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190137
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190167
MONTANA,2019,1,,-,5,,,-,2,,,-,3,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190152
WEST NORTH CENTRAL,2019,1,,-,68,,,-,13,,,-,87,,,-,,-,,WEST NORTH CENTRAL,20190120
SOUTH CAROLINA,2019,1,1,,6,,1,,1,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190135
MOUNTAIN,2019,1,3,,48,,3,,9,,,-,10,,,-,,-,,MOUNTAIN,20190148
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190123
IDAHO,2019,1,,-,7,,,-,1,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20190151
NEW HAMPSHIRE,2019,1,,-,7,,,-,,-,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190106
OKLAHOMA,2019,1,3,,10,,3,,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20190146
NEBRASKA,2019,1,,-,9,,,-,3,,,-,5,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190125
FLORIDA,2019,1,,-,27,,,-,4,,,-,9,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190131
KENTUCKY,2019,1,,-,7,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190140
INDIANA,2019,1,,-,20,,,-,6,,,-,21,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190116
AMERICAN SAMOA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190164
US RESIDENTS,2019,1,35,,425,,35,,114,,,-,561,,,-,,-,,US RESIDENTS,20190101
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
WYOMING,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190156
MISSISSIPPI,2019,1,,-,8,,,-,2,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20190141
COLORADO,2019,1,1,,11,,1,,2,,,-,6,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190150
